开始记录20240103104830
RX:ID 78c  Data:
02 76 2b 00 00 00 00 00 time：48:30:398
RX:ID 78c  Data:
07 62 fd ff ff ff ff ff time：48:30:398

握手成功第 44 次,  传输了： 89956个数 
TX : ID - 71C, DATA - 18, 2e, 36, 2c, d0, 7, 0, 0time：48:30:398
TX : ID - 71C, DATA - 23, 0, 0, 0, 0, 0, 0, 0time：48:30:454
TX : ID - 71C, DATA - 24, b4, c4, 4, 0, 6c, dc, 2time：48:30:455
TX : ID - 71C, DATA - 25, b0, f3, 96, 1, 0, b4, c4time：48:30:455
TX : ID - 71C, DATA - 26, 4, 0, 6c, dc, 2, b0, f3time：48:30:455
TX : ID - 71C, DATA - 27, 96, 1, 0, b4, c4, 4, 0time：48:30:455
TX : ID - 71C, DATA - 28, 6c, dc, 2, b0, f3, 96, 1time：48:30:456
TX : ID - 71C, DATA - 29, 0, 0, 0, 0, 0, 0, 0time：48:30:456
TX : ID - 71C, DATA - 2a, 0, 0, 0, 0, 0, 0, 0time：48:30:456
TX : ID - 71C, DATA - 2b, 0, 0, 0, 0, 0, 0, 0time：48:30:456
TX : ID - 71C, DATA - 2c, 0, 0, 0, 0, b4, c4, 4time：48:30:457
TX : ID - 71C, DATA - 2d, 0, 5a, 62, 2, b0, f3, 96time：48:30:457
TX : ID - 71C, DATA - 2e, 1, 0, 0, 0, 0, 0, 0time：48:30:457
TX : ID - 71C, DATA - 2f, 0, 0, 0, 0, 0, 0, 0time：48:30:457
TX : ID - 71C, DATA - 20, 9, 3d, 0, 0, 9, 3d, 0time：48:30:458
TX : ID - 71C, DATA - 21, 40, 42, f, 0, 0, 9, 3dtime：48:30:458
TX : ID - 71C, DATA - 22, 0, 0, 9, 3d, 0, 40, 42time：48:30:458
TX : ID - 71C, DATA - 23, f, 0, 0, 9, 3d, 0, 0time：48:30:459
TX : ID - 71C, DATA - 24, 9, 3d, 0, 40, 42, f, 0time：48:30:459
TX : ID - 71C, DATA - 25, 0, 0, 0, 0, 0, 0, 0time：48:30:459
TX : ID - 71C, DATA - 26, 0, 0, 0, 0, 0, 0, 0time：48:30:459
TX : ID - 71C, DATA - 27, 0, 0, 0, 0, 0, 0, 0time：48:30:460
TX : ID - 71C, DATA - 28, 0, 0, 0, 0, 9, 3d, 0time：48:30:460
TX : ID - 71C, DATA - 29, 0, 9, 3d, 0, 40, 42, ftime：48:30:460
TX : ID - 71C, DATA - 2a, 0, 0, 0, 0, 0, 0, 0time：48:30:460
TX : ID - 71C, DATA - 2b, 0, 0, 0, 0, 0, 0, 0time：48:30:461
TX : ID - 71C, DATA - 2c, 0, 0, 0, 0, 0, 0, 0time：48:30:461
TX : ID - 71C, DATA - 2d, 0, 0, 0, 0, 0, 0, 0time：48:30:461
TX : ID - 71C, DATA - 2e, 0, 0, 0, 0, 41, 41, 41time：48:30:461
TX : ID - 71C, DATA - 2f, 41, 41, 0, 0, 0, 0, 0time：48:30:462
